DeviceLogId,DownloadDate,DeviceId,UserId,LogDate,Direction,AttDirection,C1,C2,C3,C4,C5,C6,C7,WorkCode,UpdateFlag,IsApproved,EmployeeImage,FileName,Longitude,Latitude,CreatedDate,LastModifiedDate,LocationAddress,BodyTemperature,IsMaskOn
82584,12/01/2020 12:30:28,19,HR/EN/0992,11/30/2020 20:18:53,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82583,12/01/2020 12:30:28,19,HR/EN/1746,11/30/2020 19:57:02,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82582,12/01/2020 12:30:28,19,HR/EN/1746,11/30/2020 19:56:47,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82688,12/01/2020 16:49:36,14,41,11/30/2020 19:55:03,,NULL,out,NULL,NULL,1,0,NULL,NULL,0,0,-1,NULL,NULL,NULL,NULL,12/01/2020 16:49:36,NULL,NULL,0,0
82687,12/01/2020 16:49:36,14,41,11/30/2020 19:55:01,,NULL,out,NULL,NULL,1,0,NULL,NULL,0,0,-1,NULL,NULL,NULL,NULL,12/01/2020 16:49:36,NULL,NULL,0,0
16577,12/01/2020 10:46:01,37,HR/EN/1134,11/30/2020 19:43:44,,NULL,out,NULL,NULL,4,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:46:01,NULL,NULL,0,0
82581,12/01/2020 12:30:28,19,HR/EN/1099,11/30/2020 19:33:52,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82580,12/01/2020 12:30:28,19,HR/EN/1099,11/30/2020 19:33:45,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82579,12/01/2020 12:30:28,19,HR/EN/0269,11/30/2020 19:33:16,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82578,12/01/2020 12:30:28,19,HR/EN/0269,11/30/2020 19:33:09,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
